iter	Passed	Remaining
0	0	77
1	1	67
2	1	63
3	2	57
4	2	56
5	3	56
6	4	55
7	4	55
8	5	54
9	5	53
10	6	52
11	7	51
12	7	51
13	8	50
14	8	49
15	9	49
16	9	48
17	10	48
18	11	48
19	12	48
20	12	47
21	13	46
22	13	46
23	14	45
24	15	45
25	15	44
26	16	43
27	16	43
28	17	42
29	17	41
30	18	41
31	19	40
32	19	39
33	20	39
34	20	38
35	21	37
36	21	37
37	22	36
38	23	36
39	23	35
40	24	34
41	24	33
42	25	33
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	36	22
62	37	22
63	38	21
64	38	20
65	39	20
66	40	20
67	41	19
68	41	18
69	42	18
70	43	17
71	44	17
72	44	16
73	45	16
74	46	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	53	8
86	53	8
87	54	7
88	55	6
89	55	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
